"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Iowa : bituminous coal","dollars per tons","ELEC.COST.BIT-IA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Iowa : subbituminous coal","dollars per tons","ELEC.COST.SUB-IA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Iowa : lignite coal","dollars per tons","ELEC.COST.LIG-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa : petroleum liquids","dollars per barrels","ELEC.COST.PEL-IA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Iowa : petroleum coke","dollars per tons","ELEC.COST.PC-IA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Iowa : natural gas","dollars per mcf","ELEC.COST.NG-IA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Kansas",,"ELEC.COST..A",,,,,,,,,,,,
"Kansas : coal","dollars per tons","ELEC.COST.COW-KS-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Kansas : bituminous coal","dollars per tons","ELEC.COST.BIT-KS-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Kansas : subbituminous coal","dollars per tons","ELEC.COST.SUB-KS-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Kansas : lignite coal","dollars per tons","ELEC.COST.LIG-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas : petroleum liquids","dollars per barrels","ELEC.COST.PEL-KS-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Kansas : petroleum coke","dollars per tons","ELEC.COST.PC-KS-99.A","W","W","W","W","W","W","W","W","--","--","--","--"
"Kansas : natural gas","dollars per mcf","ELEC.COST.NG-KS-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Minnesota",,"ELEC.COST..A",,,,,,,,,,,,
"Minnesota : coal","dollars per tons","ELEC.COST.COW-MN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Minnesota : bituminous coal","dollars per tons","ELEC.COST.BIT-MN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Minnesota : subbituminous coal","dollars per tons","ELEC.COST.SUB-MN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Minnesota : lignite coal","dollars per tons","ELEC.COST.LIG-MN-99.A","--","--","--","--","--","W","W","W","W","W","W","W"
"Minnesota : petroleum liquids","dollars per barrels","ELEC.COST.PEL-MN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Minnesota : petroleum coke","dollars per tons","ELEC.COST.PC-MN-99.A","W","W","W","W","W","W","W","--","--","--","--","--"
"Minnesota : natural gas","dollars per mcf","ELEC.COST.NG-MN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Missouri",,"ELEC.COST..A",,,,,,,,,,,,
"Missouri : coal","dollars per tons","ELEC.COST.COW-MO-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Missouri : bituminous coal","dollars per tons","ELEC.COST.BIT-MO-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Missouri : subbituminous coal","dollars per tons","ELEC.COST.SUB-MO-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Missouri : lignite coal","dollars per tons","ELEC.COST.LIG-MO-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Missouri : petroleum liquids","dollars per barrels","ELEC.COST.PEL-MO-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Missouri : petroleum coke","dollars per tons","ELEC.COST.PC-MO-99.A","W","W","W","W","W","W","W","--","--","--","--","--"
"Missouri : natural gas","dollars per mcf","ELEC.COST.NG-MO-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Nebraska",,"ELEC.COST..A",,,,,,,,,,,,
"Nebraska : coal","dollars per tons","ELEC.COST.COW-NE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Nebraska : bituminous coal","dollars per tons","ELEC.COST.BIT-NE-99.A","W","W","W","--","--","W","W","W","W","W","W","W"
"Nebraska : subbituminous coal","dollars per tons","ELEC.COST.SUB-NE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Nebraska : lignite coal","dollars per tons","ELEC.COST.LIG-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : petroleum liquids","dollars per barrels","ELEC.COST.PEL-NE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Nebraska : petroleum coke","dollars per tons","ELEC.COST.PC-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : natural gas","dollars per mcf","ELEC.COST.NG-NE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"North Dakota",,"ELEC.COST..A",,,,,,,,,,,,
"North Dakota : coal","dollars per tons","ELEC.COST.COW-ND-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"North Dakota : bituminous coal","dollars per tons","ELEC.COST.BIT-ND-99.A","--","--","W","--","--","--","--","--","--","--","--","--"
"North Dakota : subbituminous coal","dollars per tons","ELEC.COST.SUB-ND-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"North Dakota : lignite coal","dollars per tons","ELEC.COST.LIG-ND-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"North Dakota : petroleum liquids","dollars per barrels","ELEC.COST.PEL-ND-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"North Dakota : petroleum coke","dollars per tons","ELEC.COST.PC-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : natural gas","dollars per mcf","ELEC.COST.NG-ND-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Dakota",,"ELEC.COST..A",,,,,,,,,,,,
"South Dakota : coal","dollars per tons","ELEC.COST.COW-SD-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Dakota : bituminous coal","dollars per tons","ELEC.COST.BIT-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : subbituminous coal","dollars per tons","ELEC.COST.SUB-SD-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Dakota : lignite coal","dollars per tons","ELEC.COST.LIG-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : petroleum liquids","dollars per barrels","ELEC.COST.PEL-SD-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Dakota : petroleum coke","dollars per tons","ELEC.COST.PC-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : natural gas","dollars per mcf","ELEC.COST.NG-SD-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Atlantic",,"ELEC.COST..A",,,,,,,,,,,,
"South Atlantic : coal","dollars per tons","ELEC.COST.COW-SAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Atlantic : bituminous coal","dollars per tons","ELEC.COST.BIT-SAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Atlantic : subbituminous coal","dollars per tons","ELEC.COST.SUB-SAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Atlantic : lignite coal","dollars per tons","ELEC.COST.LIG-SAT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Atlantic : petroleum liquids","dollars per barrels","ELEC.COST.PEL-SAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Atlantic : petroleum coke","dollars per tons","ELEC.COST.PC-SAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"South Atlantic : natural gas","dollars per mcf","ELEC.COST.NG-SAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Delaware",,"ELEC.COST..A",,,,,,,,,,,,
"Delaware : coal","dollars per tons","ELEC.COST.COW-DE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Delaware : bituminous coal","dollars per tons","ELEC.COST.BIT-DE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Delaware : subbituminous coal","dollars per tons","ELEC.COST.SUB-DE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Delaware : lignite coal","dollars per tons","ELEC.COST.LIG-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : petroleum liquids","dollars per barrels","ELEC.COST.PEL-DE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Delaware : petroleum coke","dollars per tons","ELEC.COST.PC-DE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Delaware : natural gas","dollars per mcf","ELEC.COST.NG-DE-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"District Of Columbia",,"ELEC.COST..A",,,,,,,,,,,,
"District Of Columbia : coal","dollars per tons","ELEC.COST.COW-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : bituminous coal","dollars per tons","ELEC.COST.BIT-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
