"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Wisconsin : all sectors","number of customers","ELEC.CUSTOMERS.WI-ALL.A",2918111,2930523,2937598,2947014,2955631,2966037,2982787,3000203,3017146,3038709,3060585,3082368
"Wisconsin : residential","number of customers","ELEC.CUSTOMERS.WI-RES.A",2579774,2589295,2594695,2601870,2609167,2619665,2631429,2647223,2662278,2681338,2700245,2720288
"Wisconsin : commercial","number of customers","ELEC.CUSTOMERS.WI-COM.A",333653,336720,338406,340617,341891,341648,345898,347451,349329,351706,354556,356558
"Wisconsin : industrial","number of customers","ELEC.CUSTOMERS.WI-IND.A",4683,4508,4497,4527,4573,4724,5461,5528,5538,5664,5783,5520
"Wisconsin : transportation","number of customers","ELEC.CUSTOMERS.WI-TRA.A",0,0,0,0,0,0,0,1,1,1,1,2
"Wisconsin : other","number of customers","ELEC.CUSTOMERS.WI-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"West North Central","number of customers","ELEC.CUSTOMERS.WNC-ALL.A",,,,,,,,,,,,
"West North Central : all sectors","number of customers","ELEC.CUSTOMERS.WNC-ALL.A",10480129,10450580,10498980,10532639,10585889,10651172,10729989,10817253,10901712,10993396,11076410,11162702
"West North Central : residential","number of customers","ELEC.CUSTOMERS.WNC-RES.A",9025947,9001622,9035071,9057975,9096149,9143820,9210195,9283465,9345829,9427722,9497194,9570273
"West North Central : commercial","number of customers","ELEC.CUSTOMERS.WNC-COM.A",1363936,1354137,1364039,1365960,1375910,1384323,1395610,1409496,1431149,1441772,1455127,1465459
"West North Central : industrial","number of customers","ELEC.CUSTOMERS.WNC-IND.A",90244,94819,99867,108702,113827,123027,124182,124290,124731,123900,124086,126967
"West North Central : transportation","number of customers","ELEC.CUSTOMERS.WNC-TRA.A",2,2,2,2,2,2,2,2,3,3,3,3
"West North Central : other","number of customers","ELEC.CUSTOMERS.WNC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa","number of customers","ELEC.CUSTOMERS.IA-ALL.A",,,,,,,,,,,,
"Iowa : all sectors","number of customers","ELEC.CUSTOMERS.IA-ALL.A",1543422,1546777,1552150,1556498,1562980,1572245,1580197,1591781,1602446,1621279,1633335,1643274
"Iowa : residential","number of customers","ELEC.CUSTOMERS.IA-RES.A",1325992,1324180,1327892,1329901,1334585,1341788,1348629,1356598,1358898,1375594,1385752,1392978
"Iowa : commercial","number of customers","ELEC.CUSTOMERS.IA-COM.A",211242,215987,217702,219222,221141,222048,224173,227540,235822,237940,239697,241733
"Iowa : industrial","number of customers","ELEC.CUSTOMERS.IA-IND.A",6189,6610,6556,7376,7254,8409,7395,7643,7726,7745,7886,8563
"Iowa : transportation","number of customers","ELEC.CUSTOMERS.IA-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Iowa : other","number of customers","ELEC.CUSTOMERS.IA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas","number of customers","ELEC.CUSTOMERS.KS-ALL.A",,,,,,,,,,,,
"Kansas : all sectors","number of customers","ELEC.CUSTOMERS.KS-ALL.A",1511936,1451190,1456408,1461236,1466080,1473880,1481668,1484386,1509490,1515617,1524319,1534421
"Kansas : residential","number of customers","ELEC.CUSTOMERS.KS-RES.A",1255860,1209520,1213026,1215409,1217252,1222978,1228849,1231825,1252839,1259222,1266041,1274955
"Kansas : commercial","number of customers","ELEC.CUSTOMERS.KS-COM.A",236453,218800,220083,221843,223813,224512,226035,228403,232921,232070,234094,235235
"Kansas : industrial","number of customers","ELEC.CUSTOMERS.KS-IND.A",19624,22871,23300,23984,25016,26390,26784,24158,23730,24325,24184,24231
"Kansas : transportation","number of customers","ELEC.CUSTOMERS.KS-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Kansas : other","number of customers","ELEC.CUSTOMERS.KS-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Minnesota","number of customers","ELEC.CUSTOMERS.MN-ALL.A",,,,,,,,,,,,
"Minnesota : all sectors","number of customers","ELEC.CUSTOMERS.MN-ALL.A",2559662,2573729,2586901,2595677,2606801,2622275,2640719,2673527,2679249,2705008,2725234,2755096
"Minnesota : residential","number of customers","ELEC.CUSTOMERS.MN-RES.A",2280073,2290878,2300289,2308728,2317334,2329719,2345847,2374674,2378679,2403167,2420321,2446108
"Minnesota : commercial","number of customers","ELEC.CUSTOMERS.MN-COM.A",270490,273423,276462,276278,278459,281175,284976,289040,291567,292860,295849,299993
"Minnesota : industrial","number of customers","ELEC.CUSTOMERS.MN-IND.A",9098,9427,10149,10670,11007,11380,9895,9811,9003,8981,9063,8995
"Minnesota : transportation","number of customers","ELEC.CUSTOMERS.MN-TRA.A",1,1,1,1,1,1,1,1,1,1,1,1
"Minnesota : other","number of customers","ELEC.CUSTOMERS.MN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri","number of customers","ELEC.CUSTOMERS.MO-ALL.A",,,,,,,,,,,,
"Missouri : all sectors","number of customers","ELEC.CUSTOMERS.MO-ALL.A",3067397,3065209,3075628,3072939,3081197,3090924,3106308,3118382,3138339,3160942,3185026,3206746
"Missouri : residential","number of customers","ELEC.CUSTOMERS.MO-RES.A",2686745,2687755,2695792,2693269,2699282,2708932,2724540,2734548,2751460,2771120,2792451,2811863
"Missouri : commercial","number of customers","ELEC.CUSTOMERS.MO-COM.A",371221,368471,370936,370912,373015,371718,371487,373616,376710,381632,384490,384786
"Missouri : industrial","number of customers","ELEC.CUSTOMERS.MO-IND.A",9430,8982,8899,8757,8900,10274,10280,10217,10169,8189,8084,10095
"Missouri : transportation","number of customers","ELEC.CUSTOMERS.MO-TRA.A",1,1,1,1,1,1,1,1,2,2,2,2
"Missouri : other","number of customers","ELEC.CUSTOMERS.MO-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska","number of customers","ELEC.CUSTOMERS.NE-ALL.A",,,,,,,,,,,,
"Nebraska : all sectors","number of customers","ELEC.CUSTOMERS.NE-ALL.A",988791,995067,1000148,1005964,1008128,1015838,1026215,1036313,1045460,1055501,1065599,1071627
"Nebraska : residential","number of customers","ELEC.CUSTOMERS.NE-RES.A",795001,799620,801099,805670,806519,810844,817416,825942,834032,841959,849891,855617
"Nebraska : commercial","number of customers","ELEC.CUSTOMERS.NE-COM.A",153013,154056,154014,148919,147452,148634,151374,149818,149811,151480,153745,153812
"Nebraska : industrial","number of customers","ELEC.CUSTOMERS.NE-IND.A",40778,41391,45034,51375,54157,56360,57425,60553,61617,62062,61963,62198
"Nebraska : transportation","number of customers","ELEC.CUSTOMERS.NE-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Nebraska : other","number of customers","ELEC.CUSTOMERS.NE-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota","number of customers","ELEC.CUSTOMERS.ND-ALL.A",,,,,,,,,,,,
"North Dakota : all sectors","number of customers","ELEC.CUSTOMERS.ND-ALL.A",377412,382385,387615,394394,410308,421964,436643,450872,459945,463336,466723,470191
"North Dakota : residential","number of customers","ELEC.CUSTOMERS.ND-RES.A",318759,322464,326408,330738,342549,348484,360169,371503,377738,380100,382592,385037
"North Dakota : commercial","number of customers","ELEC.CUSTOMERS.ND-COM.A",56510,57433,58567,60016,63156,66797,67868,71211,73573,74527,75147,76354
"North Dakota : industrial","number of customers","ELEC.CUSTOMERS.ND-IND.A",2143,2488,2641,3639,4603,6683,8605,8158,8634,8708,8984,8800
"North Dakota : transportation","number of customers","ELEC.CUSTOMERS.ND-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"North Dakota : other","number of customers","ELEC.CUSTOMERS.ND-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota","number of customers","ELEC.CUSTOMERS.SD-ALL.A",,,,,,,,,,,,
"South Dakota : all sectors","number of customers","ELEC.CUSTOMERS.SD-ALL.A",431509,436223,440130,445930,450394,454046,458240,461993,466784,471714,476174,481347
"South Dakota : residential","number of customers","ELEC.CUSTOMERS.SD-RES.A",363518,367204,370565,374259,378628,381075,384745,388374,392184,396561,400147,403715
"South Dakota : commercial","number of customers","ELEC.CUSTOMERS.SD-COM.A",65008,65968,66276,68769,68875,69439,69698,69869,70746,71264,72106,73546
"South Dakota : industrial","number of customers","ELEC.CUSTOMERS.SD-IND.A",2984,3050,3289,2902,2891,3531,3798,3749,3854,3889,3921,4086
"South Dakota : transportation","number of customers","ELEC.CUSTOMERS.SD-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"South Dakota : other","number of customers","ELEC.CUSTOMERS.SD-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Atlantic","number of customers","ELEC.CUSTOMERS.SAT-ALL.A",,,,,,,,,,,,
"South Atlantic : all sectors","number of customers","ELEC.CUSTOMERS.SAT-ALL.A",29152169,29280406,29422025,29487251,29679774,29951781,30245835,30532352,31008561,31419348,31819932,32246414
"South Atlantic : residential","number of customers","ELEC.CUSTOMERS.SAT-RES.A",25549873,25673494,25809111,25864527,26018433,26256034,26537001,26787718,27213228,27592470,27947847,28325443
"South Atlantic : commercial","number of customers","ELEC.CUSTOMERS.SAT-COM.A",3521608,3527553,3535964,3547409,3585551,3618602,3629388,3664557,3713150,3743208,3788470,3835182
"South Atlantic : industrial","number of customers","ELEC.CUSTOMERS.SAT-IND.A",80654,79323,76908,75302,75778,77132,79435,80066,82171,83656,83602,85776
"South Atlantic : transportation","number of customers","ELEC.CUSTOMERS.SAT-TRA.A",35,35,42,13,12,12,11,11,13,13,13,13
"South Atlantic : other","number of customers","ELEC.CUSTOMERS.SAT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware","number of customers","ELEC.CUSTOMERS.DE-ALL.A",,,,,,,,,,,,
"Delaware : all sectors","number of customers","ELEC.CUSTOMERS.DE-ALL.A",441394,444133,447339,449715,451908,456040,460572,467089,473473,481029,488191,495836
"Delaware : residential","number of customers","ELEC.CUSTOMERS.DE-RES.A",391810,393836,396113,398109,399998,403519,407508,413444,419233,426072,432449,439168
"Delaware : commercial","number of customers","ELEC.CUSTOMERS.DE-COM.A",48965,49057,49985,50369,51056,51674,52202,52786,53367,54104,54905,55802
"Delaware : industrial","number of customers","ELEC.CUSTOMERS.DE-IND.A",619,1241,1241,1237,854,847,863,859,874,853,837,866
"Delaware : transportation","number of customers","ELEC.CUSTOMERS.DE-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Delaware : other","number of customers","ELEC.CUSTOMERS.DE-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia","number of customers","ELEC.CUSTOMERS.DC-ALL.A",,,,,,,,,,,,
"District Of Columbia : all sectors","number of customers","ELEC.CUSTOMERS.DC-ALL.A",243849,248104,254000,255948,258100,261854,265820,272910,285318,293563,300953,308752
