"Receipts of fossil fuels by electricity plants for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/12?agg=0,1&fuel=f007&geo=vvvvvvvvvvvvo&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Feb 15 2021 12:52:56 GMT+0330 (Iran Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"East North Central : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-ENC-99.A",2320,1997,1508,1557,1149,1177,1524,1081,1050,888,875,901
"East North Central : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-ENC-99.A",1149,905,748,1416,893,860,1489,1309,1014,559,599,325
"East North Central : natural gas","thousand mcf","ELEC.RECEIPTS.NG-ENC-99.A",275521,281030,369999,459563,621882,432952,440348,650392,845653,736347,980851,1140342
"Illinois",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Illinois : coal","thousand tons","ELEC.RECEIPTS.COW-IL-99.A",60517,55086,58595,66839,61119,59536,62810,55587,39036,40231,42205,34332
"Illinois : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-IL-99.A",5235,3959,4551,4994,8042,9525,8785,10032,9419,10322,9881,9941
"Illinois : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-IL-99.A",54724,50618,53285,61846,53077,50011,54025,45555,29617,29909,32324,24390
"Illinois : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-IL-99.A","--","--","--","--","--","--","--",0,"--","--","--","--"
"Illinois : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-IL-99.A",271,245,215,174,131,129,179,101,119,116,98,90
"Illinois : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-IL-99.A",0,0,0,"--","--","--",0,0,0,0,0,0
"Illinois : natural gas","thousand mcf","ELEC.RECEIPTS.NG-IL-99.A",49742,49647,63458,67266,78693,40427,33334,72846,135248,107309,128983,159869
"Indiana",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Indiana : coal","thousand tons","ELEC.RECEIPTS.COW-IN-99.A",61080,58281,54471,43919,36672,36386,40628,34888,28736,28961,29773,28275
"Indiana : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-IN-99.A",40992,38839,37037,34065,30634,33254,37015,32490,26831,27535,27100,25962
"Indiana : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-IN-99.A",20087,19442,17434,9855,6038,3133,3613,2398,1906,1426,2673,2313
"Indiana : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-IN-99.A",372,333,333,350,230,252,359,268,184,203,208,215
"Indiana : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-IN-99.A",0,13,0,287,204,0,424,393,162,0,0,0
"Indiana : natural gas","thousand mcf","ELEC.RECEIPTS.NG-IN-99.A",52012,53263,76940,101358,117031,74303,75417,113996,148401,122867,182600,211990
"Michigan",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Michigan : coal","thousand tons","ELEC.RECEIPTS.COW-MI-99.A",38251,36474,36234,33779,29547,29349,30834,29684,21809,23611,22395,21214
"Michigan : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-MI-99.A",9690,7645,7513,6624,3910,2925,4507,2944,2136,1752,1767,1829
"Michigan : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-MI-99.A",28561,28829,28721,27155,25638,26424,26328,26740,19672,21858,20628,19385
"Michigan : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-MI-99.A","--","--",0,"--","--","--","--","--","--","--","--","--"
"Michigan : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-MI-99.A",734,714,344,366,215,230,227,177,180,154,159,153
"Michigan : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-MI-99.A",162,186,203,188,36,151,427,295,295,504,539,280
"Michigan : natural gas","thousand mcf","ELEC.RECEIPTS.NG-MI-99.A",99021,88738,119549,124100,175163,101525,99894,160213,237431,198703,231528,258751
"Ohio",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Ohio : coal","thousand tons","ELEC.RECEIPTS.COW-OH-99.A",58556,51834,51301,45038,35005,37839,39646,31671,28881,25965,22772,22722
"Ohio : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-OH-99.A",46261,45289,41838,39655,33647,36425,38541,31580,28713,25752,22575,22655
"Ohio : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-OH-99.A",12293,6545,9464,5383,1358,1414,1105,91,168,212,197,68
"Ohio : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-OH-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-OH-99.A",570,581,527,570,518,466,644,458,517,363,323,393
"Ohio : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-OH-99.A",519,296,198,662,471,546,467,511,492,0,0,0
"Ohio : natural gas","thousand mcf","ELEC.RECEIPTS.NG-OH-99.A",25605,40719,60624,111716,163870,158008,173203,204922,209824,206172,316263,365929
"Wisconsin",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
